city,county,2010 population,2000 population,percent change,2010 land area in sq mi,2010 land area in sq km,density
Washington,Macomb,"25,139","19,080",31.80%,35.48,91.9,708.5/sq mi (273.6/km2)
Washington,Sanilac,"1,659","1,636",1.40%,35.95,93.1,46.1/sq mi (17.8/km2)
Waterford,Oakland,"71,707","73,150",?2.0%,30.66,79.4,"2,338.8/sq mi (903.0/km2)"
Waterloo,Jackson,"2,856","3,069",?6.9%,47.62,123.3,60.0/sq mi (23.2/km2)
Watersmeet,Gogebic,"1,417","1,472",?3.7%,254.77,659.9,5.6/sq mi (2.1/km2)
Watertown,Clinton,"4,836","4,162",16.20%,35.51,92,136.2/sq mi (52.6/km2)
Watertown,Sanilac,"1,320","1,376",?4.1%,35.04,90.8,37.7/sq mi (14.5/km2)
Watertown,Tuscola,"2,202","2,231",?1.3%,32.53,84.3,67.7/sq mi (26.1/km2)
Watervliet,Berrien,"1,735","1,843",?5.9%,1.19,3.1,"1,458.0/sq mi (562.9/km2)"
Watervliet,Berrien,"3,102","3,392",?8.5%,13.47,34.9,230.3/sq mi (88.9/km2)
Watson,Allegan,"2,063","2,086",?1.1%,35.36,91.6,58.3/sq mi (22.5/km2)
Waucedah,Dickinson,804,800,0.50%,88.5,229,9.1/sq mi (3.5/km2)
Waverly,Cheboygan,457,472,?3.2%,48.19,124.8,9.5/sq mi (3.7/km2)
Waverly,Van Buren,"2,554","2,467",3.50%,34.12,88.4,74.9/sq mi (28.9/km2)
Wawatam,Emmet,661,705,?6.2%,15.73,40.7,42.0/sq mi (16.2/km2)
Wayland,Allegan,"4,079","3,939",3.60%,2.98,7.7,"1,368.8/sq mi (528.5/km2)"
Wayland,Allegan,"3,088","3,013",2.50%,32.62,84.5,94.7/sq mi (36.6/km2)
Wayne,Cass,"2,654","2,861",?7.2%,34.25,88.7,77.5/sq mi (29.9/km2)
Wayne,Wayne,"17,593","19,051",?7.7%,6.02,15.6,"2,922.4/sq mi (1,128.4/km2)"
Weare,Oceana,"1,210","1,261",?4.0%,33.91,87.8,35.7/sq mi (13.8/km2)
Webber,Lake,"1,699","1,875",?9.4%,34.97,90.6,48.6/sq mi (18.8/km2)
Webberville,Ingham,"1,272","1,503",?15.4%,1.83,4.7,695.1/sq mi (268.4/km2)
Webster,Washtenaw,"6,784","5,198",30.50%,35.09,90.9,193.3/sq mi (74.6/km2)
Weesaw,Berrien,"1,936","2,065",?6.2%,35.44,91.8,54.6/sq mi (21.1/km2)
Weldon,Benzie,542,530,2.30%,36.43,94.4,14.9/sq mi (5.7/km2)
Wellington,Alpena,307,296,3.70%,53.22,137.8,5.8/sq mi (2.2/km2)
Wells,Delta,"4,885","5,044",?3.2%,39.56,102.5,123.5/sq mi (47.7/km2)
Wells,Marquette,231,292,?20.9%,154.11,399.1,1.5/sq mi (0.6/km2)
Wells,Tuscola,"1,773","1,946",?8.9%,34.26,88.7,51.8/sq mi (20.0/km2)
West Bloomfield,Oakland,"64,690","64,860",?0.3%,27.01,70,"2,395.0/sq mi (924.7/km2)"
West Branch,Dickinson,63,67,?6.0%,111.46,288.7,0.6/sq mi (0.2/km2)
West Branch,Marquette,"1,623","1,648",?1.5%,35.48,91.9,45.7/sq mi (17.7/km2)
West Branch,Missaukee,466,532,?12.4%,35.55,92.1,13.1/sq mi (5.1/km2)
West BranchCounty seat,Ogemaw,"2,139","1,926",11.10%,1.48,3.8,"1,445.3/sq mi (558.0/km2)"
West Branch,Ogemaw,"2,593","2,628",?1.3%,34.02,88.1,76.2/sq mi (29.4/km2)
Westland,Wayne,"84,094","86,602",?2.9%,20.42,52.9,"4,118.2/sq mi (1,590.1/km2)"
Westphalia,Clinton,923,876,5.40%,1.11,2.9,831.5/sq mi (321.1/km2)
Westphalia,Clinton,"2,365","2,257",4.80%,35.52,92,66.6/sq mi (25.7/km2)
West Traverse,Emmet,"1,606","1,448",10.90%,13.37,34.6,120.1/sq mi (46.4/km2)
Wexford,Wexford,"1,072",798,34.30%,36.54,94.6,29.3/sq mi (11.3/km2)
Wheatfield,Ingham,"1,632","1,641",?0.5%,29.14,75.5,56.0/sq mi (21.6/km2)
Wheatland,Hillsdale,"1,351","1,258",7.40%,35.65,92.3,37.9/sq mi (14.6/km2)
Wheatland,Mecosta,"1,403","1,474",?4.8%,35.48,91.9,39.5/sq mi (15.3/km2)
Wheatland,Sanilac,488,530,?7.9%,36.34,94.1,13.4/sq mi (5.2/km2)
Wheeler,Gratiot,"2,786","2,785",0.00%,35.88,92.9,77.6/sq mi (30.0/km2)
White CloudCounty seat,Newaygo,"1,408","1,420",?0.8%,1.95,5.1,722.1/sq mi (278.8/km2)
Whitefish,Chippewa,575,588,?2.2%,241.5,625.5,2.4/sq mi (0.9/km2)
Whiteford,Monroe,"4,602","4,420",4.10%,39.72,102.9,115.9/sq mi (44.7/km2)
Whitehall,Muskegon,"2,706","2,884",?6.2%,3.12,8.1,867.3/sq mi (334.9/km2)
Whitehall,Muskegon,"1,739","1,648",5.50%,8.87,23,196.1/sq mi (75.7/km2)
White Lake,Oakland,"30,019","28,219",6.40%,33.52,86.8,895.6/sq mi (345.8/km2)
White Oak,Ingham,"1,173","1,177",?0.3%,36.28,94,32.3/sq mi (12.5/km2)
White Pigeon,St. Joseph,"1,522","1,627",?6.5%,1.39,3.6,"1,095.0/sq mi (422.8/km2)"
White Pigeon,St. Joseph,"3,753","3,847",?2.4%,25.1,65,149.5/sq mi (57.7/km2)
White River,Muskegon,"1,335","1,338",?0.2%,15.72,40.7,84.9/sq mi (32.8/km2)
Whitewater,Grand Traverse,"2,597","2,467",5.30%,47.84,123.9,54.3/sq mi (21.0/km2)
Whitney,Arenac,"1,001","1,033",?3.1%,30.73,79.6,32.6/sq mi (12.6/km2)
Whittemore,Iosco,384,476,?19.3%,0.98,2.5,391.8/sq mi (151.3/km2)
Wilber,Iosco,729,740,?1.5%,72.44,187.6,10.1/sq mi (3.9/km2)
Wilcox,Newaygo,"1,098","1,145",?4.1%,32.43,84,33.9/sq mi (13.1/km2)
Williams,Bay,"4,772","4,492",6.20%,33.55,86.9,142.2/sq mi (54.9/km2)
Williamston,Ingham,"3,854","3,441",12.00%,2.44,6.3,"1,579.5/sq mi (609.9/km2)"
Williamstown,Ingham,"4,978","4,834",3.00%,29.09,75.3,171.1/sq mi (66.1/km2)
Wilmot,Cheboygan,878,826,6.30%,35.76,92.6,24.6/sq mi (9.5/km2)
Wilson,Alpena,"2,029","2,074",?2.2%,79.27,205.3,25.6/sq mi (9.9/km2)
Wilson,Charlevoix,"1,964","2,022",?2.9%,34.05,88.2,57.7/sq mi (22.3/km2)
Windsor,Eaton,"6,838","7,340",?6.8%,34.49,89.3,198.3/sq mi (76.5/km2)
Winfield,Montcalm,"2,235","2,049",9.10%,35.46,91.8,63.0/sq mi (24.3/km2)
Winsor,Huron,"1,907","2,044",?6.7%,35.23,91.2,54.1/sq mi (20.9/km2)
Winterfield,Clare,459,483,?5.0%,36.05,93.4,12.7/sq mi (4.9/km2)
Wise,Isabella,"1,397","1,301",7.40%,36.5,95,38.3/sq mi (14.8/km2)
Wisner,Tuscola,690,749,?7.9%,19.32,50,35.7/sq mi (13.8/km2)
Wixom,Oakland,"13,498","13,263",1.80%,9.15,23.7,"1,475.2/sq mi (569.6/km2)"
Wolverine,Cheboygan,244,359,?32.0%,0.98,2.5,249.0/sq mi (96.1/km2)
Wolverine Lake,Oakland,"4,312","4,415",?2.3%,1.27,3.3,"3,395.3/sq mi (1,310.9/km2)"
Woodbridge,Hillsdale,"1,325","1,337",?0.9%,30.05,77.8,44.1/sq mi (17.0/km2)
Woodhaven,Wayne,"12,875","12,530",2.80%,6.39,16.6,"2,014.9/sq mi (777.9/km2)"
Woodhull,Shiawassee,"3,810","3,850",?1.0%,25.52,66.1,149.3/sq mi (57.6/km2)
Woodland,Barry,425,495,?14.1%,0.81,2.1,524.7/sq mi (202.6/km2)
Woodland,Barry,"2,047","2,129",?3.9%,35.38,91.6,57.9/sq mi (22.3/km2)
Woodstock,Lenawee,"3,505","3,468",1.10%,33.88,87.7,103.5/sq mi (39.9/km2)
Worth,Sanilac,"3,894","4,021",?3.2%,38.6,100,100.9/sq mi (39.0/km2)
Wright,Hillsdale,"1,655","1,788",?7.4%,43.35,112.3,38.2/sq mi (14.7/km2)
Wright,Ottawa,"3,147","3,286",?4.2%,36.1,93.5,87.2/sq mi (33.7/km2)
Wyandotte,Wayne,"25,883","28,006",?7.6%,5.27,13.6,"4,911.4/sq mi (1,896.3/km2)"
Wyoming,Kent,"72,125","69,368",4.00%,24.64,63.8,"2,927.2/sq mi (1,130.2/km2)"
Yale,St. Clair,"1,955","2,063",?5.2%,1.38,3.6,"1,416.7/sq mi (547.0/km2)"
Yankee Springs,Barry,"4,065","4,219",?3.7%,31.06,80.4,130.9/sq mi (50.5/km2)
Yates,Lake,761,714,6.60%,35.29,91.4,21.6/sq mi (8.3/km2)
York,Washtenaw,"8,708","7,392",17.80%,34.7,89.9,251.0/sq mi (96.9/km2)
Ypsilanti,Washtenaw,"19,435","22,362",?13.1%,4.33,11.2,"4,488.5/sq mi (1,733.0/km2)"
Ypsilanti,Washtenaw,"53,362","49,182",8.50%,29.93,77.5,"1,782.9/sq mi (688.4/km2)"
Zeeland,Ottawa,"5,504","5,805",?5.2%,2.99,7.7,"1,840.8/sq mi (710.7/km2)"
Zeeland,Ottawa,"9,971","7,613",31.00%,34.4,89.1,289.9/sq mi (111.9/km2)
Zilwaukee,Saginaw,"1,658","1,799",?7.8%,2.21,5.7,750.2/sq mi (289.7/km2)
Zilwaukee,Saginaw,67,61,9.80%,3.58,9.3,18.7/sq mi (7.2/km2)
